id,date,title,media,description,link,is_featured,is_interactive,role_1,role_2,role_3,role_4,skill_1,skill_2,skill_3,viz_1,viz_2,viz_3,viz_4,viz_5,img
30,12-2024,"As landowners resist, Texas’ border wall is fragmented and built in remote areas",Texas Tribune / FRONTLINE,"I developed a 3D map showing where Texas has built its border wall, identified by The Texas Tribune for the first time. The map data behind this map is generated by georeferencing wall locations by either overlaying easemet contracts on satellite imagery or using grid coordinates and parcel IDs listed in the document. The story was published on <a href=""https://apple.news/AjVDqLClDReWyNnqtm2TcdA"" target=""_blank"">Apple News</a> as well, where it was featured as one of the top stories nationwide.",https://apps.texastribune.org/features/2024/texas-border-wall-greg-abbott-landowners/,TRUE,TRUE,front-end development,data visualization,visual investigation,,three.js,Apple News format,React,3D map,raster map,symbol map,,,gif
27,08-2024,Texas Tribune's voter guide,Texas Tribune,"I designed and developed a new version of the Texas Tribune's voter guide. The ballot lookup feature provides information about each district's population demographics, voter turnout, and the winning margin of the 2020 presidential election, in addition to displaying ballot information based on a user-entered address. Previously, the Tribune used Mapbox for the static maps included in the tool, which proved costly. To reduce expenses, I created the maps without relying on Mapbox.",https://www.texastribune.org/2024/08/21/texas-voter-guide-2024-election/,TRUE,TRUE,front-end development,design,data visualization,,React,d3.js,Google Places API,choropleth map,diverging bar chart,proportional bar chart,,,png
24,03-2024,How a fraction of voters decide who runs Texas,Texas Tribune,"I created a visualization illustrating how primary election voters—a small subset of the entire Texas population—effectively determine the state's elections, using a school of fish as a visual metaphor. The visualization was inspired by the classic children's book <em>Swimmy</em>.",https://apps.texastribune.org/features/2024/fraction-of-texans-vote-in-primaries/,TRUE,FALSE,data visualization,page design,front-end development,,three.js,Illustrator,Google Places API,dot clusters,pictogram,stacked dot plot,,,gif
29,11-2024,Cartogram on General Election results page,Texas Tribune,"I designed and developed a map featured on the results page—a cartogram using circles to represent estimated votes, with each circle doubling as a pie chart to display vote breakdowns. This visualization highlights the voter population sizes of each county, which are overlooked in traditional choropleth maps.",https://apps.texastribune.org/features/2024/texas-2024-general-election-results/,TRUE,TRUE,data visualization,front-end development,,,figma,React,d3.js,cartogram,pie chart,,,,png
12,03-2022,"Which mass shootings are more newsworthy, and why?",School work,"From 1982 to fall 2021, there were 124 mass shootings in the U.S. I examined the media attention each incident received by counting the number of New York Times articles and their total word count. To conduct this analysis, I developed database query conditions, converted data formats, manually reviewed over 6,000 articles, and analyzed the cleaned data with guidance from researcher Emily Boardman Ndulue. I then visualized the data and developed the web page to present the findings.",https://yuriko-schumacher.github.io/mass-shooting/,TRUE,TRUE,data scraping,page design,data visualization,front-end development,R,Svelte,d3.js,scatterplot,stacked dot plot,beeswarm chart,lollipop chart,dot strip plot,gif
28,11-2024,9 million Texans voted early in 2024. Here’s how that compares to previous years.,Texas Tribune,"Using data scraped from the Texas Secretary of State website, I created charts comparing early voting turnout in the 2024 general election to the two previous presidential elections. Beeswarm charts were used to illustrate turnout across counties, divided by political regions.",https://www.texastribune.org/2024/11/04/texas-early-voting-turnout-rate-down/,FALSE,TRUE,data analysis,data scraping,data visualization,front-end development,d3.js,React,Google Places API,proportional bar chart,beeswarm chart,locator map,,,png
26,08-2024,Texas likely undercounting heat-related deaths,Texas Tribune / Inside Climate News,"I led a <a href=""https://github.com/texastribune/heat-deaths-analysis"" target=""_blank"">statistical analysis</a> estimating heat-related deaths in Texas, using meteorological data and death indexes, with guidance from Ariel Karlinsky, an economist and statistician at Hebrew University. We built a model to predict expected mortality rates under normal conditions and used it to estimate excess deaths on summer days with unusually high heat indexes.",https://www.texastribune.org/2024/08/14/texas-heat-deaths-undercount/,FALSE,FALSE,statistical analysis,data analysis,data visualization,reporting,R,Illustrator,,line chart,proportional bar chart,,,,png
25,07-2024,"Texas weather extremes likely to become normal, scientists say",Texas Tribune,"Using precipitation and drought data in Texas, I created maps and charts illustrating the stark divide between East and West Texas—highlighting that the eastern half of the state has experienced above-average rainfall, while the western half has been drier.",https://www.texastribune.org/2024/07/01/texas-extreme-weather-climate-change/,FALSE,FALSE,GIS analysis,data analysis,data visualization,,QGIS,Illustrator,,symbol map,choropleth map,raster map,line chart,frequency chart,png
23,11-2023,More oyster harvest areas have been closed in recent years,Texas Tribune,"I developed a short-term graphic illustrating the locations and status of oyster harvest areas over the past decade, combining multiple types of charts for a comprehensive view.",https://www.texastribune.org/2023/11/03/texas-oyster-fishing-season/,FALSE,FALSE,data visualization,map making,data analysis,,QGIS,Illustrator,,symbol map,waffle chart,,,,png
22,10-2023,Many rural counties have no private schools,Texas Tribune,"This short-term data visualization highlights the concentration of private schools in urban areas across Texas. Using data from the Texas Private School Accreditation Commission, I verified the existence of each school. The visualization combines a map, bar chart, and waffle chart",https://www.texastribune.org/2023/10/30/private-school-expansion-texas-vouchers/,FALSE,FALSE,data visualization,map making,data analysis,,QGIS,Illustrator,R,symbol map,bar chart,waffle chart,,,png
